SA2_5DIG11,GEOM_CENTROID
21200,145.04307847857 -37.7690333715017
21201,145.062793536564 -37.7685706753077
21202,145.119688804235 -37.7288576611329
21203,145.088240804479 -37.7312235341923
21204,145.084146861255 -37.704906277704
21205,145.0490430223 -37.7145616414967
21206,145.00782219531 -37.7418710071999
21207,145.021585461465 -37.7149915779224
21208,144.993954840434 -37.7098548515302
21209,145.156819431337 -37.7147092503534
21210,145.194336897545 -37.6375802237251
21211,145.408292811154 -37.491063374064
21212,145.264760135603 -37.5958652599541
21213,145.12384442487 -37.6535220376745
21214,145.220616328461 -37.6990063263111
21215,145.167302856948 -37.6677414091122
21216,145.071194909111 -37.6828243873875
21217,145.052578472407 -37.6929165644429
21218,145.007587828431 -37.6076267872863
21219,145.00392833339 -37.6629038227282
21220,145.067711395438 -37.6595201673938
21221,145.059245300844 -37.6714004316086
21222,145.092920270996 -37.6073197428932
21223,145.008275044233 -37.6838545841913
21224,145.071556999701 -37.3848213136326
21225,145.101952899397 -37.4979254368401
21226,144.881299359791 -37.7238215070806
21227,144.900408980171 -37.7269074135479
21228,144.844457564607 -37.7189458793312
21229,144.864371580102 -37.7518041296811
21230,144.884892814158 -37.7449968984661
21231,144.913672638583 -37.7299281436606
21232,144.555199374694 -37.4954867160397
21233,144.573254321021 -37.4119328951679
21234,144.677704288588 -37.4382571402788
21235,144.763506909784 -37.3500030025499
21236,144.967455693147 -37.7269908198052
21237,144.969606234376 -37.7052348606993
21238,144.929281628059 -37.7045100168995
21239,144.931820093504 -37.7228760869411
21240,144.767576850667 -37.539438985652
21241,144.697003090884 -37.5928229179134
21242,144.929322239378 -37.6840825031346
21243,144.95184408601 -37.663919817163
21244,144.910432982194 -37.5577633642054
21245,144.890798165926 -37.6762714027483
21246,144.83529712882 -37.6236597412127
21247,144.918554632959 -37.6511652213493
21248,144.836518525972 -37.6764223477074
21249,144.936271701592 -37.6294271927032
21250,144.877231852882 -37.696140548216
21251,145.264765141819 -37.8454424012786
21252,145.297884474892 -37.8560876703657
21253,145.284478368502 -37.8861657989121
21254,145.230368457089 -37.8971967400227
21255,145.290808389843 -37.9269677285236
21256,145.243169461961 -37.9193831286168
21257,145.260860093956 -37.907141209052
21258,145.238977288599 -37.9354531064268
21259,145.225975132659 -37.8523234055512
21260,145.220905347602 -37.8736556326548
21261,145.20305239412 -37.7845699096538
21262,145.242878213155 -37.7430917039898
21263,145.292890998444 -37.8284794180981
21264,145.284421918253 -37.798635810771
21265,145.268723658076 -37.7729529462703
21266,145.233380352436 -37.8114120811401
21267,145.248677209664 -37.8214899042668
21268,145.230686544246 -37.7946504068032
21269,145.17104800953 -37.8398696401906
21270,145.199007499937 -37.8181772277477
21271,145.176530692053 -37.81736214526
21272,145.199291178847 -37.8384323106799
21273,145.187816672363 -37.8543868353112
21274,145.355159812315 -37.9387221956947
21275,145.314314682521 -37.738602236959
21276,145.496183790373 -37.6261350272812
21277,145.320339747521 -37.8154275686918
21278,145.388826570581 -37.713798764866
21279,145.458728263934 -37.8640820966708
21280,145.34794730844 -37.8111357899254
21281,145.32567177796 -37.7813384071837
21282,145.375679962324 -37.8618409867079
21283,145.388211048059 -37.7872915563512
21284,145.330731065906 -37.9042492547281
21285,145.463962938929 -37.760639443515
21286,145.680130664487 -37.7677986498951
21287,145.403100016867 -38.0468981444703
21288,145.644849377637 -38.0796987859335
21289,145.561150047444 -37.9532636162404
21290,145.553271178971 -38.2090212900883
21291,145.478228135792 -38.0452232455082
21292,145.489656995351 -38.0942716852805
21293,145.348812161393 -38.0251460100504
21294,145.347909683736 -38.0611765368046
21295,145.240186091204 -37.9906248119961
21296,145.258803726069 -37.9661326372028
21297,145.268499777228 -38.0077498608398
21298,145.305918642847 -38.0180118949998
21299,145.330338945726 -37.986271748975
21300,145.275709147261 -38.1068959169653
21301,145.342222420076 -38.1044437479311
21302,145.298842795504 -38.0774941009154
21303,145.312921340064 -38.1514475078121
21304,145.248402442285 -38.1018481931535
21305,145.268601162521 -38.0385987949765
21306,145.253148609392 -38.0619912418487
21307,145.301875493583 -38.0543737327467
21308,145.311565733775 -38.20445343809
21309,145.099050111297 -37.938563812605
21310,145.125214326954 -37.9430611536639
21311,145.209735035266 -38.030402468064
21312,145.214314374778 -37.955829804674
21313,145.127132023225 -37.9749040215557
21314,145.163915838264 -38.0145370475967
21315,145.176703066144 -37.9695318893817
21316,145.190828694712 -37.9512501827198
21317,145.157855645109 -37.9456955331773
21318,145.147861826868 -37.9708445719992
21319,145.101451394238 -37.872428715428
21320,145.132179558739 -37.9159414418834
21321,145.17831910769 -37.8815267757835
21322,145.156069994439 -37.8817019544212
21323,145.130233314054 -37.8664606461137
21324,145.127203127089 -37.8872641702807
21325,145.175882200679 -37.9256842605219
21326,145.101207603131 -37.9084831590003
21327,145.186882791646 -37.9075862759668
21328,144.809600565386 -37.7761502483217
21329,144.787805881061 -37.7593128513452
21330,144.774234244443 -37.7873883333319
21331,144.777319891187 -37.7198031543847
21332,144.812909378677 -37.7262884261976
21333,144.770506451115 -37.7390306343981
21334,144.802389199973 -37.7371644430322
21335,144.807633527482 -37.753355632748
21336,144.834251604552 -37.7893218502005
21337,144.836188717539 -37.7639291131468
21338,144.818275132326 -37.8020080821766
21339,144.7642427744 -37.6997965312754
21340,144.785972479584 -37.6885113552192
21341,144.815007218664 -37.8603070135415
21342,144.784434001678 -37.8809914076465
21343,144.836089111586 -37.8357238593396
21344,144.882221651269 -37.8376280746088
21345,144.758655945009 -37.8809207745817
21346,144.884790234715 -37.8591281458354
21347,144.862985921276 -37.7846899207644
21348,144.897319056108 -37.798129364626
21349,144.887761401052 -37.7726910684011
21350,144.886341712916 -37.8076671963134
21351,144.86450660452 -37.8020278677191
21352,144.881971735599 -37.8179761533529
21353,144.454595034159 -37.637934582668
21354,144.74399771691 -37.7400580716432
21355,144.696720309521 -37.6873572530253
21356,144.593775928904 -37.6214940610753
21357,144.547634636257 -37.7401380178367
21358,144.542604125537 -37.6648716227552
21359,144.667237875407 -37.7603985180504
21360,144.749012824315 -37.7145698234302
21361,144.701511252688 -37.8624317444938
21362,144.685361508025 -37.8732784782709
21363,144.778039106045 -37.8395384264528
21364,144.753279062548 -37.9064597092374
21365,144.646570596234 -37.8266167244011
21366,144.734547120851 -37.8326484719653
21367,144.554977027681 -37.9176841061006
21368,144.652875295156 -37.9513593441664
21369,144.541005605392 -37.8414955193983
21370,145.175794237659 -38.0927778966046
21371,145.139648987434 -38.1541113110543
21372,145.158040892748 -38.1336081494385
21373,145.129465323794 -38.1764492882824
21374,145.195927493004 -38.162622356077
21375,145.138446637514 -38.1048207172879
21376,145.215078733876 -38.1013751426116
21377,144.99911708597 -38.3358558380339
21378,145.000041935376 -38.3980294160491
21379,145.16465081046 -38.3457907781066
21380,145.0602813122 -38.230431692285
21381,145.092891771877 -38.1950758525374
21382,145.030733700515 -38.2754437429521
21383,144.79662935229 -38.3786027580366
21384,144.907463728667 -38.3690214731914
21385,145.163894412128 -38.2411442096196
21386,142.975609634635 -37.2624514983084
21387,142.834452706272 -37.4901980029689
21388,142.214493767086 -36.7317621126739
21389,142.08907162276 -36.8219218961552
21390,141.575772215234 -36.0981304401598
21391,143.126583785914 -36.6753356589398
21392,142.696027528719 -37.0215341881573
21393,141.343170416192 -36.95297077707
21394,142.423051857684 -35.989241097624
21395,142.180961599279 -34.2416697658006
21396,142.036211744673 -34.1814345966893
21397,142.125698577503 -34.2075093305169
21398,141.671450216048 -34.8833502192233
21399,142.226997005454 -34.3367353146664
21400,143.006183929864 -35.9097451899207
21401,143.802582138274 -35.7514761373968
21402,143.94549648905 -35.7246121731254
21403,142.766934480715 -34.6521285649828
21404,143.511779615279 -35.362182530887
21405,143.127704359534 -35.126876588764
21406,144.772128318613 -36.1637751535529
21407,144.978177638558 -36.2555559993054
21408,144.470403164188 -36.1745790006623
21409,144.73666205117 -36.334835453918
21410,144.843101067742 -36.5790007316393
21411,145.668356739401 -35.9443963769931
21412,145.895983237112 -36.147264679985
21413,145.301602709986 -36.0143111180447
21414,146.002741528701 -36.0375372404325
21415,145.34611476363 -36.3988120034829
21416,145.401371338757 -36.3428324753735
21417,145.432509334283 -36.4304530113021
21418,145.539912191918 -36.3734661719713
21419,145.212782167325 -36.4230681447806
21420,141.382867817481 -37.8663260334348
21421,142.017613021727 -37.7458417302099
21422,141.584123059115 -38.3402529142356
21423,142.028995429502 -37.536541540529
21424,143.159210903127 -38.2286021467944
21425,143.578546582997 -38.3588349693856
21426,143.636276622127 -38.2980202308865
21427,143.260482655158 -38.0220642486616
21428,143.106481090108 -38.4633438398538
21429,142.710978802969 -38.0948486656241
21430,142.148445013328 -38.1565311102609
21431,143.553897284463 -38.6420988874377
21432,142.495764043398 -38.344649333284
21433,142.574248294826 -38.389875889399
29799,
29499,
31001,153.229161985504 -27.5322882937118
31002,153.158533717047 -27.5071492950972
31003,153.210760277473 -27.4996970759343
31004,153.202947592343 -27.5430955111437
31005,153.201008993526 -27.4845848826088
31006,153.241491967734 -27.4948109118071
31007,153.267530803108 -27.5329827097286
31008,153.25517091905 -27.5102178704495
31009,153.290807765661 -27.6478958349236
31010,153.429024050885 -27.4139869933913
31011,153.216875620032 -27.6076960283809
31012,153.260817342517 -27.5675702705359
31013,153.286783307395 -27.5871227233705
31014,153.197797826138 -27.3811273708352
31015,153.185241390767 -27.4628018818572
31016,153.166040785402 -27.4675808302808
31017,153.10822521619 -27.454159554385
31018,153.127040566768 -27.4735982976056
31019,153.155889118358 -27.4830014042822
31020,153.167108841291 -27.4403996481053
31021,153.141001778395 -27.4498205323228
31022,153.019531843923 -27.3074686556118
31023,152.994353011575 -27.3520784521336
31024,153.01549075202 -27.3474674760533
31025,152.987376690912 -27.4007589184474
31026,152.991757372031 -27.3824287840924
31027,153.018447810019 -27.3669258398932
31028,153.03209130288 -27.385373912448
31029,153.012503605148 -27.3832109715688
31030,153.047387329454 -27.3725442782804
31031,153.030479632526 -27.4061368285428
31032,153.01022798304 -27.4094414255519
31033,153.009204670357 -27.3968709912212
31034,153.047573988927 -27.3921915940545
31035,153.069757064958 -27.3487557020092
31036,153.117553041305 -27.3921735407689
31037,153.096474164013 -27.4348357215365
31038,153.067785991916 -27.3838602614167
31039,153.0890423572 -27.3672590427358
31040,153.062041933218 -27.40250749687
31041,153.033939047063 -27.3196546391638
31042,153.05529110023 -27.2964742172937
31043,153.059454666287 -27.3277909465684
31044,153.068284323962 -27.3203433483057
31045,153.038797209212 -27.3406103891683
31046,153.038931530001 -27.3584295307899
31047,153.078001565653 -27.4963074052326
31048,153.094746696584 -27.4723716604068
31049,153.098790819844 -27.4875561919881
31050,153.091260047524 -27.507210938249
31051,153.113233275456 -27.5105832258326
31052,153.032477077066 -27.5122786935867
31053,153.061519365585 -27.498899025841
31054,153.024684584615 -27.5021051988095
31055,153.047718000509 -27.5071158176938
31056,153.07010782563 -27.5184911970776
31057,153.060458378721 -27.5262474177315
31058,153.036601959735 -27.4930717887388
31059,153.010638131302 -27.521311638932
31060,153.092109706325 -27.5793358920178
31061,153.073190929243 -27.5653905849023
31062,153.105138678521 -27.5348110004716
31063,153.080509648476 -27.5335990192624
31064,153.146330866564 -27.5637371209923
31065,153.081435435875 -27.553433800478
31066,153.101072954592 -27.5544759754181
31067,153.036470620572 -27.5656554017857
31068,153.024604829386 -27.5343595714137
31069,153.057403986242 -27.5653745214317
31070,153.04422248871 -27.5488885586584
31071,153.045593422922 -27.5270812707748
31072,153.03239491472 -27.6127911309439
31073,153.067305312704 -27.6282659480922
31074,153.003268838157 -27.6215644289779
31075,153.038724061598 -27.6444943927893
31076,153.012241256812 -27.5678771630884
31077,153.093672174361 -27.6068266619067
31078,153.076771440702 -27.5982560213563
31079,153.059555266696 -27.5785078568505
31080,153.052135312694 -27.5959639636595
31081,152.935015513648 -27.5400438765804
31082,152.927312843269 -27.5561239554713
31083,152.909621237004 -27.5619515758171
31084,152.952074263414 -27.545769468855
31085,152.912758836205 -27.5486227336678
31086,152.878862146151 -27.5724068346787
31087,152.875561759373 -27.4769453328637
31088,152.948378574994 -27.49888447002
31089,152.961899458335 -27.5278447883303
31090,152.937738057338 -27.5168757235834
31091,152.87840508907 -27.5251137428993
31092,152.978815124203 -27.5177781171481
31093,152.983749470058 -27.5432623565378
31094,152.979863356068 -27.5063446053783
31095,152.981168485076 -27.5305300188505
31096,153.004924417811 -27.4980737775279
31097,152.981948843716 -27.493497205533
31098,152.975395613098 -27.4271462850331
31099,152.87049818052 -27.4334697301071
31100,152.952214213341 -27.4144702531925
31101,152.970449607453 -27.412097497915
31102,152.948528770893 -27.474904036287
31103,152.941254173348 -27.4459043153666
31104,152.920595419713 -27.4143341366634
31105,153.02272205942 -27.4681196334362
31106,153.035327176432 -27.4562727076963
31107,153.01748513231 -27.4875369052765
31108,153.036699560822 -27.4767949006926
31109,153.045656712214 -27.4664264977762
31110,153.019939115259 -27.4791590459653
31111,153.024601255172 -27.4594622966027
31112,153.005987158894 -27.4833958931952
31113,153.067553345669 -27.4561490756113
31114,153.059271246898 -27.4485865081103
31115,153.047013061749 -27.4841201881446
31116,153.059230817784 -27.4639649050076
31117,153.07635848534 -27.4668708919588
31118,153.062961892584 -27.4801462001121
31119,153.044469050277 -27.4325554417745
31120,153.001017914849 -27.4255268914856
31121,153.06608868496 -27.4298659741247
31122,153.054440004109 -27.4191495390773
31123,153.015269501607 -27.4225144416758
31124,153.061839290849 -27.4365888645824
31125,153.070254815491 -27.4177481740334
31126,153.016898734395 -27.4488594537107
31127,153.007815383976 -27.4352924375942
31128,153.040588771502 -27.4479071075797
31129,153.018626412723 -27.4347409372042
31130,153.030182764504 -27.4342271194699
31131,153.040630110609 -27.4171097736105
31132,152.98190570789 -27.4442885826288
31133,152.995108795452 -27.4738413640154
31134,152.979204685884 -27.4609951534179
31135,152.999678888618 -27.4630194388757
31136,153.002083457811 -27.4524714143886
31137,152.984029147019 -27.4814678625088
31138,145.715535288757 -16.89920638045
31139,145.660993762766 -16.7737607577805
31140,145.746473980016 -16.8784484877291
31141,145.691163908579 -16.8947189526073
31142,145.692971582862 -16.8151053862499
31143,145.726212914149 -16.8382313815758
31144,145.722091111168 -17.0082774551697
31145,145.765850665063 -16.9145806956395
31146,145.728405072332 -16.9554511168572
31147,145.740743221982 -17.0174422624235
31148,145.787388213922 -17.059246289645
31149,145.726613570262 -16.929961879347
31150,145.681272953543 -17.0527836555668
31151,145.73665347851 -16.9170582948424
31152,145.749202313471 -16.917206930844
31153,145.732186259748 -16.9888602457174
31154,145.762512496397 -16.941170367536
31155,145.757779156781 -16.9785318529835
31156,145.736094762226 -16.9000030825658
31157,145.745837489029 -16.9592458679347
31158,145.939941352166 -17.3499561952673
31159,146.031814963578 -17.52168404779
31160,145.931352807333 -17.6904913715436
31161,145.925903697314 -18.1198032500526
31162,145.800688986934 -17.3806655149784
31163,145.897161696348 -16.9945382814256
31164,145.269625991164 -16.191976254827
31165,145.48431242731 -16.5846616748357
31166,145.463695222185 -17.2159081386931
31167,145.277835588206 -18.0350234516716
31168,145.56564955375 -16.8327082437036
31169,145.613214150724 -17.3678689381049
31170,145.496206073945 -17.0379712372771
31171,148.115826531142 -28.315880231102
31172,150.688851161166 -26.3707436438634
31173,150.357207555887 -28.3979513368867
31174,150.332884538201 -28.3975310040422
31175,149.919563154228 -26.4034912937622
31176,148.803999211589 -26.5631739283513
31177,148.286678053069 -26.544261412336
31178,150.168921198519 -27.5039928409775
31179,151.895467838063 -27.1357234560252
31180,151.488336362117 -27.4298136421883
31181,151.120692093135 -27.8537240951518
31182,151.581656860108 -27.7145597092322
31183,151.173072005807 -27.0331660195167
31184,151.913254459375 -27.86710888858
31185,152.230765499402 -28.2245164434368
31186,151.821822996452 -28.1804882256533
31187,151.937656729684 -28.6598939566787
31188,151.723119850472 -28.7394199234989
31189,152.005821395823 -28.2324502965248
31190,149.328296438817 -23.924196536023
31191,148.01777254274 -24.0791821875977
31192,148.162733437812 -23.5356218347743
31193,151.704918080914 -24.3947197082603
31194,149.93837637399 -24.9355129559577
31195,150.516909419881 -24.3981843757463
31196,151.361061909972 -23.9736550399334
31197,151.203702673202 -23.8402238513161
31198,151.222963416754 -23.8868217254348
31199,151.260735672552 -23.8519436695241
31200,151.074246061951 -24.0586005119127
31201,151.250676356169 -23.8764117094618
31202,151.293358943426 -23.8828921293273
31203,151.268571616132 -23.9124237553349
31204,151.246433311154 -23.8582033891879
31205,150.530776012751 -23.3734639562375
31206,150.623922891683 -23.6285540867358
31207,150.797493314686 -23.2589049437197
31208,150.573983724504 -23.3304176849017
31209,150.458217193992 -23.2316119853569
31210,150.412017392093 -23.4878647863352
31211,150.565112193701 -23.368626565342
31212,150.394698879818 -23.7207317051197
31213,150.553867900569 -23.3020721400333
31214,150.511932013903 -23.3576977675153
31215,150.505114468141 -23.3139467239815
31216,150.470950122896 -23.3978466584559
31217,150.537959869783 -23.4165286210328
31218,150.705685060776 -23.3661776200582
31219,150.019399563781 -22.7967810702969
31220,150.049820323191 -23.3539707313027
31221,150.459811135637 -22.6284712714964
31222,150.499361342894 -23.3928194217493
31223,150.737494709883 -23.1548042750978
31224,153.414911649483 -28.0269615928615
31225,153.435201306053 -28.102382609926
31226,153.432249710121 -28.0873901773792
31227,153.434106005089 -28.0379373061527
31228,153.421523686968 -28.0497873021084
31229,153.435847870655 -28.0682133071537
31230,153.533743553611 -28.1697535624372
31231,153.494207685592 -28.1495978961422
31232,153.462696682618 -28.1542886689083
31233,153.449307149642 -28.1357654676819
31234,153.4629824824 -28.1159163691977
31235,153.363019369545 -27.9376781565923
31236,153.39142023702 -27.9298119758671
31237,153.370926018944 -27.9107278636386
31238,153.397931034061 -27.9462170970985
31239,153.395272170623 -27.8851525833202
31240,153.397745020703 -27.9138626506286
31241,153.255284294121 -28.1153484970901
31242,153.149259718385 -28.0957610954816
31243,153.378992066636 -28.188733568729
31244,153.350614178844 -28.1210664776594
31245,153.401838687383 -28.1134596262715
31246,153.366351670663 -28.0215056621772
31247,153.335424698723 -28.0156652849675
31248,153.300342135143 -27.9899593246551
31249,153.323219741951 -27.947211640526
31250,153.331317813498 -28.053214532108
31251,153.339424864195 -27.8468979997101
31252,153.337286920698 -27.9009052060014
31253,153.396851183834 -27.8402256102652
31254,153.338564405541 -27.7481620601814
31255,153.230091735956 -27.7680348345148
31256,153.2917648846 -27.9205173266096
31257,153.313852585029 -27.8129549237734
31258,153.241515136283 -27.8610575354101
31259,153.397300006298 -28.0419335925656
31260,153.373068610684 -28.0508528988617
31261,153.393293703064 -28.0707108593936
31262,153.411083491329 -28.0888997791058
31263,153.376474672053 -27.9888307389651
31264,153.360688067462 -27.9740947231094
31265,153.363042976495 -27.9546056016932
31266,153.400272834064 -27.9737626701061
31267,153.385833342108 -28.0076882398348
31268,153.404794662267 -28.0111084300875
31269,153.425539731969 -27.9569057790493
31270,153.423265279275 -28.002579011279
31271,152.947510517994 -27.5684595306353
31272,152.985756560441 -27.5891849020137
31273,152.965619138805 -27.6180090276528
31274,152.962902171784 -27.5917848643894
31275,152.975826852259 -27.5616299762102
31276,152.921483216171 -27.5889229081519
31277,152.612686237656 -27.9946359618944
31278,152.438307184342 -27.2069024052615
31279,152.763889702072 -27.4142919197459
31280,152.379337499817 -27.6435197027967
31281,152.576971116786 -27.4414831376429
31282,152.578505451734 -27.6824044858562
31283,152.736342712398 -27.5900653479103
31284,152.811244419918 -27.6074874619689
31285,152.742369512136 -27.6499217484531
31286,152.754726049044 -27.6170860743379
31287,152.783996712215 -27.6117711819213
31288,152.735381854336 -27.5464664698795
31289,152.829244454054 -27.5630099628003
31290,152.793211092137 -27.5196099516483
31291,152.716246262004 -27.6055183863942
31292,152.772706987795 -27.5906400935399
31293,152.772757585379 -27.6437319000996
31294,152.814867604004 -27.6995922031072
31295,152.841704622731 -27.5913838291321
31296,152.887314359561 -27.6507972729783
31297,152.919786613237 -27.6312101894978
31298,152.929542454552 -27.6212900283274
31299,152.864284467033 -27.6124755329896
31300,152.89238780794 -27.6116560302037
31301,152.832594173205 -27.6180400115685
31302,152.850244222174 -27.6512085363499
31303,152.910150712766 -27.6525392910376
31304,152.904403210741 -27.6850248346116
31305,152.919240772117 -28.1376412610682
31306,153.193566086562 -27.7151068349118
31307,153.21926901247 -27.6986024956418
31308,153.170018102956 -27.7105439545606
31309,153.205490901299 -27.7310905717254
31310,153.175302850277 -27.7598304388759
31311,153.04088021878 -27.7050630251771
31312,153.062669025319 -27.6626923909093
31313,153.088829211519 -27.7367594858193
31314,153.08444220199 -27.6875945701207
31315,152.970755058702 -27.6714787280345
31316,153.01168878624 -27.6651818438842
31317,153.097574913547 -27.6734878852257
31318,153.034784772636 -27.7378716200524
31319,153.05106232332 -27.6796277324916
31320,152.912069346678 -27.7773840445744
31321,153.04370421902 -27.8550226072119
31322,153.108353937342 -27.7721617678137
31323,153.148745784883 -27.6986099291427
31324,153.238943932154 -27.6687209337402
31325,153.181757671672 -27.6801378667802
31326,153.138875283942 -27.6703308495989
31327,153.177534348997 -27.6498008583299
31328,153.125509802404 -27.6927645357126
31329,153.157837320401 -27.630261204048
31330,153.113195807766 -27.6592291785591
31331,153.09864929289 -27.6472576981727
31332,153.148396054371 -27.603585692258
31333,153.133635256883 -27.6410889764616
31334,153.13832387354 -27.6204185783656
31335,153.111295620035 -27.6088542575691
31336,153.105752097326 -27.6285264813144
31337,148.229759505576 -20.0171703146047
31338,148.727959450322 -22.1882566796224
31339,147.046623322165 -22.3204868358755
31340,147.617606851249 -20.7421624785454
31341,147.889710165282 -21.9474379966677
31342,149.179976237688 -21.0939930267133
31343,149.204308108046 -21.1565600988949
31344,149.169232683363 -21.0598031674298
31345,148.456961986607 -21.0509058256528
31346,149.182318709167 -21.1431941387405
31347,149.21477045144 -21.1174335933544
31348,149.128164137114 -21.106000194616
31349,149.185677162779 -21.1218140744801
31350,149.156944684056 -21.1925752807892
31351,148.732934106825 -21.180943370648
31352,149.215864421951 -21.5532036191671
31353,148.787801829778 -20.8782715597738
31354,149.148368440229 -21.0265458146271
31355,149.214191941667 -21.082861267912
31356,149.181162603751 -21.1648139288229
31357,149.05639940491 -21.2744313045451
31358,149.162770599694 -21.1514385571828
31359,148.876064537911 -20.2417662351619
31360,148.780875351327 -20.3955931988254
31361,148.484244744416 -20.4092813356294
31362,153.063791442068 -27.0643901643261
31363,153.136674625664 -26.9897741522366
31364,153.001855644709 -27.1286352494217
31365,152.971466305912 -27.0632644703883
31366,152.935924403652 -27.1025273127042
31367,152.960950220808 -27.0004329381062
31368,152.965049554945 -27.1075400860448
31369,152.87227266829 -27.0425070066802
31370,152.383570620427 -26.7834764993779
31371,152.763098863203 -26.9507909804371
31372,152.958252190107 -27.1583910201515
31373,153.009151861954 -27.1788053497816
31374,152.921461439012 -27.1431834217938
31375,152.923772084484 -27.1855778546971
31376,152.86725031801 -27.1227389309388
31377,153.082095073866 -27.2468643870941
31378,153.102727148436 -27.247958620276
31379,153.107374595181 -27.226900420528
31380,153.064783243512 -27.216061033984
31381,153.097930231784 -27.2074561128829
31382,152.96900885056 -27.3543150757146
31383,152.921281018087 -27.2983521778087
31384,152.813448936987 -27.2188671572494
31385,152.93695871488 -27.3399838348288
31386,152.94127165291 -27.3811211440821
31387,152.837985707938 -27.3572383605427
31388,152.989913936253 -27.2395597728983
31389,153.031077466412 -27.2702905055849
31390,153.031931360646 -27.2336315340577
31391,152.967828300303 -27.2924585713599
31392,152.98225791078 -27.2810467200164
31393,152.97243103276 -27.2648824137272
31394,152.983312014533 -27.3142852979958
31395,141.827862823955 -13.6057079972106
31396,143.2513838413 -14.1664345909067
31397,143.04084989373 -18.5261612182731
31398,141.808407807751 -14.9391448499846
31399,142.312954012948 -11.0049571901243
31400,143.92223488635 -16.9853819607733
31401,142.412321038371 -10.7311805271301
31402,142.366729159578 -9.85844882679869
31403,141.861007009163 -12.6420644365823
31404,140.273826550136 -17.740204209747
31405,139.510297622509 -20.7259377877045
31406,139.656740075661 -20.5397622780239
31407,142.948555444052 -20.7029699030065
31408,145.72928045156 -23.7265759643408
31409,146.489407984932 -26.1896945353756
31410,140.736558570455 -23.8569928251597
31411,143.859078237843 -27.4425932291537
31412,143.959260416295 -23.7180606351672
31413,153.043305756429 -26.6761123934029
31414,153.050318493821 -26.7058341997779
31415,153.101331440862 -26.7027782982572
31416,153.080153935119 -26.7227729575316
31417,153.120339785757 -26.7735860212167
31418,153.12810053569 -26.6956923969489
31419,153.130011695218 -26.7988026253901
31420,153.07608054836 -26.7976986052054
31421,153.104960741657 -26.8302389612834
31422,153.135972881465 -26.7873357238088
31423,153.125974091891 -26.7222759090588
31424,153.123739274648 -26.7500718173441
31425,153.085893594078 -26.5406469986406
31426,153.07700104397 -26.6112993631122
31427,153.077705648122 -26.6545625835816
31428,153.11122775007 -26.6804449290385
31429,153.015702655731 -26.5977334478969
31430,153.011063803786 -26.6425974217514
31431,152.980125457399 -26.5151640337487
31432,152.950444615479 -26.6330504875062
31433,152.937084485863 -26.3210578902495
31434,153.092994831846 -26.3980029481934
31435,153.060699769637 -26.4228840374179
31436,153.084381483365 -26.4745131429945
31437,153.10194035832 -26.4185524534783
31438,153.016052124427 -26.393580289661
31439,152.96286487853 -26.857551979885
31440,152.763097323048 -26.7372870507463
31441,152.967078768387 -26.9255905987082
31442,152.992387032752 -26.7839250398235
31443,152.768663738476 -26.5970139299614
31444,152.942141884025 -26.7029104729905
31445,151.872999611493 -27.6904526307936
31446,151.933821186379 -27.6052495882147
31447,151.912665579644 -27.5913328280276
31448,152.287762897294 -27.5621037210655
31449,151.867060178834 -27.4539868812672
31450,151.963368668685 -27.4232803984819
31451,152.169866981806 -27.6447769434149
31452,151.96688475015 -27.607093569337
31453,151.932546824218 -27.5560154615224
31454,151.952501347598 -27.527531945467
31455,151.986338346432 -27.584851892072
31456,151.954945163545 -27.5748882158027
31457,151.980431102611 -27.5501345163678
31458,151.844979828754 -27.5654283055531
31459,151.923151230874 -27.5261347232904
31460,147.411958039536 -19.5768756952865
31461,147.2443049068 -19.8306041429988
31462,146.268565899827 -20.0686487683545
31463,145.787930444571 -20.1486756594016
31464,146.154398919211 -18.655112879944
31465,146.045491446133 -18.6622110047558
31466,146.600457675633 -18.7312387120522
31467,146.769731935838 -19.2995018237985
31468,146.790157093988 -19.324204209523
31469,146.750672105322 -19.2116222801305
31470,146.645347641829 -19.3148741894199
31471,146.693751614194 -19.3495596115397
31472,146.752861723106 -19.3055252363129
31473,146.669013313157 -19.2312780947706
31474,146.769520229826 -19.3707202572738
31475,146.770941556919 -19.2581601086088
31476,146.773840200124 -19.28075786006
31477,146.753551708444 -19.2903507066818
31478,146.803230638801 -19.2897371898614
31479,146.79216956876 -19.2809512631557
31480,146.679276599058 -19.4364944003558
31481,146.739902641607 -19.3026344342564
31482,146.720606076153 -19.3039508906517
31483,146.833131137424 -19.138828772715
31484,146.727789973903 -19.2560579437376
31485,146.785052625952 -19.2964812650123
31486,146.439655540639 -19.1567617229546
31487,146.818913870887 -19.3053239796528
31488,146.825579850269 -19.2678901341599
31489,146.853436590235 -19.5416461759903
31490,146.807952129738 -19.2542399749648
31491,146.851003886998 -19.3266665881029
31492,152.388188352959 -24.8738034082621
31493,152.428640703795 -24.85085526085
31494,152.286680620398 -24.9145985987977
31495,152.348599451868 -24.8712996469085
31496,152.381450366021 -24.84928207246
31497,152.323602528166 -24.8345546317587
31498,152.122617332916 -24.7654387366518
31499,152.279548235344 -25.1493396200169
31500,152.311054917631 -24.8775914847412
31501,152.33889577045 -24.890235048198
31502,152.360874641366 -24.8996762930901
31503,151.446462641956 -25.6690256639029
31504,151.787682070623 -24.958244536692
31505,151.840891540221 -26.5318553994863
