SA2_5DIG11,GEOM_CENTROID
11119,152.03963474774 -32.7736346624651
11120,152.001980832537 -32.7442590537389
11121,152.126661178013 -32.7365186125124
11122,151.756640501354 -32.7704010115346
11123,151.707265594993 -32.6592461211051
11124,152.126972306861 -32.6278432868617
11125,151.893235113483 -32.7171408192243
11126,150.908257286916 -32.3140797048949
11127,150.607111165243 -32.4503918658837
11128,150.857991785268 -32.050193002377
11129,150.727802366378 -31.9670900022416
11130,150.866916329654 -34.4887989188612
11131,150.766467964893 -34.5225627251055
11132,150.764184517961 -34.4774751079856
11133,150.88538162486 -34.4609715284693
11134,150.824097942236 -34.4419371130801
11135,150.715458520381 -34.3694461542551
11136,150.719064910792 -34.5769028606283
11137,150.794926073871 -34.5618776873184
11138,150.843461866499 -34.6818045748455
11139,150.848984478444 -34.6395864830157
11140,150.754148510071 -34.6890860884016
11141,150.831915458615 -34.6021254241283
11142,150.826541156927 -34.5648330734971
11143,150.854226160115 -34.5548385990779
11144,150.88521583626 -34.3917268687003
11145,150.897154263064 -34.3708749879619
11146,150.854612943941 -34.4192041172071
11147,150.953207591299 -34.1864808484719
11148,150.938049524137 -34.289087030273
11149,150.887032920457 -34.4270340782499
11150,150.903829082391 -34.3406303349562
11151,152.070743052611 -32.3650721491197
11152,152.531969779468 -32.2212848614877
11153,152.403308024254 -32.2505806853541
11154,152.485603605192 -32.1606734360568
11155,152.828576858409 -31.0814381900302
11156,152.57752680411 -30.9196250984169
11157,152.953568051255 -30.7209727521505
11158,152.984982416038 -30.6456684317266
11159,152.759655395935 -30.6891173364176
11160,153.049349706801 -30.9144642460192
11161,159.076805531427 -31.5525504226573
11162,152.693268509597 -31.6186292085599
11163,152.898719324318 -31.4788428563485
11164,152.860436839799 -31.4378932321749
11165,152.473873169628 -31.3664927581489
11166,152.76837928596 -31.4676513695356
11167,151.793234598921 -31.9055334221666
11168,152.544062020349 -31.9725681380472
11169,152.466964819413 -31.9093215294479
11170,152.255230130375 -31.7761170715877
11171,152.355727193881 -31.8581288703969
11172,147.01361367689 -36.059653871408
11173,146.9023387176 -36.0409917991906
11174,146.867345981458 -36.0617478729057
11175,147.183678713654 -35.7563191332156
11176,146.941556957293 -36.0317309642411
11177,144.707337984485 -34.152703510504
11178,142.041301297266 -34.1141797548963
11179,142.904151538879 -33.7833181454217
11180,146.35832630919 -35.9939949525468
11181,146.281419850245 -35.6431665264964
11182,144.973179175185 -35.5290892261445
11183,144.612929002939 -35.3076491550511
11184,144.775717638288 -36.0578770299866
11185,145.744459116693 -35.4542527266882
11186,151.667766249404 -30.5031477549666
11187,151.930942524213 -30.3366462080395
11188,151.394809776118 -30.5775114762652
11189,151.753207211069 -31.166403520372
11190,151.903050742937 -29.6450136654469
11191,151.110028963414 -29.762575672283
11192,151.116817843585 -29.4604785799902
11193,150.589852605424 -29.7443102511869
